3.533	1	0
3.55	1	0
3.567	1	0
3.584	1	0
3.601	1	0
3.618	1	0
3.635	1	0
3.652	1	0
3.669	1	0
3.686	1	0
3.703	1	0
3.72	1	0
3.737	1	0
3.754	1	0
3.771	1	0
3.788	1	0
3.805	1	0
3.822	1	0
3.839	1	0
3.856	1	0
3.873	1	0
3.89	1	0
3.907	1	0
3.924	1	0
3.941	1	0
3.958	1	0
3.975	1	0
3.992	1	0
4.009	1	0
4.026	1	0
4.043	1	0
4.06	1	0
4.077	1	0
4.094	1	0
4.111	1	0
4.128	1	0
4.145	1	0
4.162	1	0
4.179	1	0
4.196	1	0
4.213	1	0
4.23	1	0
4.247	1	0
4.264	1	0
4.281	1	0
4.298	1	0
4.315	1	0
4.332	1	0
4.349	1	0
4.366	1	0
4.383	1	0
4.4	1	0
4.417	1	0
4.434	1	0
4.451	1	0
4.468	1	0
4.485	1	0
4.502	1	0
4.519	1	0
4.536	1	0
4.553	1	0
4.57	1	0
4.587	1	0
4.604	1	0
4.621	1	0
4.638	1	0
4.655	1	0
4.672	1	0
4.689	1	0
4.706	1	0
4.723	1	0
4.74	1	0
4.757	1	0
4.774	1	0
4.791	1	0
4.808	1	0
4.825	1	0
4.842	1	0
4.859	1	0
4.876	1	0
4.893	1	0
4.91	1	0
4.927	1	0
4.944	1	0
4.961	1	0
4.978	1	0
4.995	1	0
5.012	1	0
5.029	1	0
5.046	1	0
5.063	1	0
5.08	1	0
5.097	1	0
5.114	1	0
5.131	1	0
5.148	1	0
5.165	1	0
5.182	1	0
5.199	1	0
5.216	1	0
5.233	1	0
5.25	1	0
5.267	1	0
5.284	1	0
5.301	1	0
5.318	1	0
5.335	1	0
5.352	1	0
5.369	1	0
5.386	1	0
5.403	1	0
5.42	1	0
5.437	1	0
5.454	1	0
5.471	0.115303072	0.884696928
5.488	0.115285983	0.884714017
5.505	0.115268949	0.884731051
5.522	0.11525197	0.88474803
5.539	0.115235046	0.884764954
5.556	0.115218175	0.884781825
5.573	0.115201358	0.884798642
5.59	0.115184595	0.884815405
5.607	0.115167884	0.884832116
5.624	0.115151226	0.884848774
5.641	0.115134621	0.884865379
5.658	0.115118067	0.884881933
5.675	0.115101565	0.884898435
5.692	0.115085115	0.884914885
5.709	0.115068716	0.884931284
5.726	0.115052367	0.884947633
5.743	0.115036069	0.884963931
5.76	0.115019822	0.884980178
5.777	0.115003624	0.884996376
5.794	0.114987475	0.885012525
5.811	0.114971376	0.885028624
5.828	0.114955326	0.885044674
5.845	0.114939325	0.885060675
5.862	0.114923372	0.885076628
5.879	0.114907467	0.885092533
5.896	0.11489161	0.88510839
5.913	0.1148758	0.8851242
5.93	0.114860038	0.885139962
5.947	0.114844323	0.885155677
5.964	0.114828654	0.885171346
5.981	0.114813032	0.885186968
5.998	0.114797456	0.885202544
6.015	0.114781926	0.885218074
6.032	0.114766442	0.885233558
6.049	0.114751003	0.885248997
6.066	0.114735609	0.885264391
6.083	0.11472026	0.88527974
6.1	0.114704956	0.885295044
6.117	0.114689696	0.885310304
6.134	0.11467448	0.88532552
6.151	0.114659308	0.885340692
6.168	0.11464418	0.88535582
6.185	0.114629095	0.885370905
6.202	0.114614053	0.885385947
6.219	0.114599054	0.885400946
6.236	0.114584097	0.885415903
6.253	0.114569183	0.885430817
6.27	0.114554312	0.885445688
6.287	0.114539482	0.885460518
6.304	0.114524694	0.885475306
6.321	0.114509947	0.885490053
6.338	0.114495242	0.885504758
6.355	0.114480577	0.885519423
6.372	0.114465954	0.885534046
6.389	0.114451371	0.885548629
6.406	0.114436828	0.885563172
6.423	0.114422326	0.885577674
6.44	0.114407863	0.885592137
6.457	0.114393441	0.885606559
6.474	0.114379057	0.885620943
6.491	0.114364713	0.885635287
6.508	0.114350408	0.885649592
6.525	0.114336142	0.885663858
